,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1142269,85.0
1,Memento,2000,8.5,80,980806,85.0
2,Snatch,2000,8.3,55,686888,83.0
3,Requiem for a Dream,2000,8.3,68,666355,83.0
4,X-Men,2000,7.4,64,512266,74.0
5,Cast Away,2000,7.8,73,450160,78.0
6,American Psycho,2000,7.6,64,409084,76.0
7,Unbreakable,2000,7.3,62,296798,73.0
8,Meet the Parents,2000,7.0,73,284204,70.0
9,Mission: Impossible II,2000,6.1,59,271257,61.0
10,"O Brother, Where Art Thou?",2000,7.8,69,251439,78.0
11,Gone in Sixty Seconds,2000,6.5,35,238006,65.0
12,"Crouching Tiger, Hidden Dragon",2000,7.9,93,233670,79.0
13,The Patriot,2000,7.2,63,229075,72.0
14,Almost Famous,2000,7.9,90,227366,79.0
15,Pitch Black,2000,7.1,49,208744,71.0
16,Scary Movie,2000,6.2,48,206833,62.0
17,"Me, Myself & Irene",2000,6.6,49,202861,66.0
18,Final Destination,2000,6.7,36,201986,67.0
19,The Beach,2000,6.6,43,199619,66.0
20,Amores Perros,2000,8.1,83,199268,81.0
21,Traffic,2000,7.6,86,181675,76.0
22,Remember the Titans,2000,7.8,48,177843,78.0
23,What Women Want,2000,6.4,47,174419,64.0
24,How the Grinch Stole Christmas,2000,6.1,46,166797,61.0
25,Chocolat,2000,7.3,64,163341,73.0
26,Miss Congeniality,2000,6.2,43,158941,62.0
27,Charlie's Angels,2000,5.5,52,157850,55.0
28,Chicken Run,2000,7.0,88,156891,70.0
29,High Fidelity,2000,7.5,79,154380,75.0
30,Battle Royale,2000,7.7,81,153673,77.0
31,Erin Brockovich,2000,7.3,73,151464,73.0
32,The Emperor's New Groove,2000,7.3,70,150095,73.0
33,Road Trip,2000,6.5,55,144318,65.0
34,The Perfect Storm,2000,6.4,59,142841,64.0
35,"Dude, Where's My Car?",2000,5.5,30,125416,55.0
36,Hollow Man,2000,5.7,24,111154,57.0
37,Scream 3,2000,5.5,56,109392,55.0
38,Billy Elliot,2000,7.7,74,108946,77.0
39,The 6th Day,2000,5.9,49,107441,59.0
40,Shanghai Noon,2000,6.6,77,107335,66.0
41,What Lies Beneath,2000,6.6,51,106709,66.0
42,Pay It Forward,2000,7.2,40,104335,72.0
43,The Whole Nine Yards,2000,6.7,47,99046,67.0
44,Coyote Ugly,2000,5.6,27,98026,56.0
45,In the Mood for Love,2000,8.1,85,97735,81.0
46,Men of Honor,2000,7.2,56,97712,72.0
47,The Family Man,2000,6.7,42,93842,67.0
48,Frequency,2000,7.4,67,91038,74.0
49,Dancer in the Dark,2000,8.0,61,89196,80.0
50,Bedazzled,2000,6.0,49,88561,60.0
51,Little Nicky,2000,5.3,38,88216,53.0
52,The Cell,2000,6.3,40,86698,63.0
53,Bring It On,2000,6.0,52,77828,60.0
